date,macro_risk_score,regime,fx_volatility,rates_volatility,equity_volatility,broad_dollar,credit_stress,equity_growth,oil_growth,industrial_growth
2007-02-28,,,,,,,,,,
2007-03-31,,,,,,,,,,
2007-04-30,,,,,,,,,,
2007-05-31,,,,,,,,,,
2007-06-30,,,,,,,,,,
2007-07-31,,,,,,,,,,
2007-08-31,,,,,,,,,,
2007-09-30,,,,,,,,,,
2007-10-31,,,,,,,,,,
2007-11-30,,,,,,,,,,
2007-12-31,,,,,,,,,,
2008-01-31,,,,,,,,,,
2008-02-29,,,,,,,,,,
2008-03-31,,,,,,,,,,
2008-04-30,,,,,,,,,,
2008-05-31,,,,,,,,,,
2008-06-30,,,,,,,,,,
2008-07-31,,,,,,,,,,
2008-08-31,,,,,,,,,,
2008-09-30,,,,,,,,,,
2008-10-31,,,,,,,,,,
2008-11-30,,,,,,,,,,
2008-12-31,,,,,,,,,,
2009-01-31,,,,,,,,,,
2009-02-28,,,,,,,,,,
2009-03-31,,,,,,,,,,
2009-04-30,,,,,,,,,,
2009-05-31,,,,,,,,,,
2009-06-30,,,,,,,,,,
2009-07-31,,,,,,,,,,
2009-08-31,,,,,,,,,,
2009-09-30,,,,,,,,,,
2009-10-31,,,,,,,,,,
2009-11-30,,,,,,,,,,
2009-12-31,,,,,,,,,,
2010-01-31,,,,,,,,,,
2010-02-28,-0.32708293204125793,neutral,-0.4148240823816156,-0.3470669322209882,-1.2120177700954688,0.4460490589849187,0.4757728302560428,-0.3129233402989977,-0.6722452444490227,-0.5794079761249318
2010-03-31,-0.1899956157993158,neutral,-0.8922753633855534,0.20896548170226448,-0.5626155072576788,0.35379906768924324,1.006118429937713,-0.9347031668959069,-0.41697512675088355,-0.28227874143372433
2010-04-30,0.32980956988402144,neutral,-0.03227854806034138,-0.03153180498118913,1.0041601507497715,0.38113873778361335,1.6799506622096039,-0.20434349196849017,-0.28178850403811606,0.1231693573773199
2010-05-31,1.5991965301213051,extreme_risk_off,1.868174131751928,1.347496578245663,1.6821110690461643,2.0216297837008033,2.3785050400722634,1.2132790502684916,1.449816502074217,0.8325600858109101
2010-06-30,0.047596212822113515,neutral,-0.3129244638779573,-1.2094200663551808,0.21340320091412576,-0.24556604745989752,1.3438899774748583,0.46250511298320857,-0.06080013042572066,0.18968211932347195
2010-07-31,-0.8472670189945938,risk_on,-1.6266518930251477,-0.7401863032318159,-1.9417250710594762,-1.8669083424349495,1.808917416013875,-1.0422108406875257,-0.3118683927487648,-1.057502724782946
2010-08-31,0.6004118734448466,risk_off,0.4347280901810311,1.4065358266747754,0.3798017604707229,0.7093181593499175,0.5939360179323108,0.48586628144833105,0.6776710989780365,0.11543775252364802
2010-09-30,-0.7133859609349799,risk_on,-0.46991457162776445,-1.0553277107042864,-0.5314500290600103,-1.8626558110271412,1.3055885418896833,-1.3243148435364456,-0.856485327511912,-0.9125279359019625
2010-10-31,-0.10725771655719202,neutral,0.6081430719626357,0.7638269920176349,-0.6021307891579899,-0.5606988823568073,-0.07786581115926343,-0.4749796365552741,-0.05626929131339157,-0.45808738589508047
2010-11-30,0.2806073192553298,neutral,-0.0374535680523043,0.05101207838648749,0.41441569107859333,1.71532319307616,0.23151512743566424,0.1565412686182674,-0.2229771169751077,-0.0635181195251221
2010-12-31,-0.6557030568714521,risk_on,-0.4416429615006279,0.35327749378294876,-1.4114859501917958,-0.8517320830987851,0.2336428337546086,-0.9276736050324891,-0.7489480467130647,-1.4510621359724118
2011-01-31,-0.24565368801556506,neutral,-0.8463290399049659,-0.7739413477009954,0.39224062942960236,-0.49149035233533794,0.06568285511804667,-0.028696671413223296,-0.2457185209592701,-0.0369770563583769
2011-02-28,-0.27673870190902666,neutral,-0.5239436191433958,-0.36444066231396244,-0.3543724780745398,-0.3023077890562563,0.21648634140380105,-0.2079984912953619,-0.6087012308960807,-0.06863168589641733
2011-03-31,-0.19895862735635675,neutral,-0.31460628012727165,-0.017983351413993078,-0.21511704461987202,-0.3844393617316916,0.11281382999960989,-0.29347141282682776,-0.5560238533622258,0.0771584552314181
2011-04-30,-0.4614030787131531,neutral,0.1737398551680602,-0.931222733859077,-0.9350449426192832,-1.2453576339885033,0.20058048781184287,-0.3881253409965955,-0.5112905140244178,-0.05450380719725145
2011-05-31,0.3213442621195432,neutral,0.05790200241354216,-0.40106150265609414,0.18971198075457466,0.8682241199551934,0.11639733895223196,0.3169076887014194,0.9790719912464081,0.4436004775890701
2011-06-30,0.29313353097467965,neutral,-0.47314080144521703,1.1463353854280336,0.2875901307851609,-0.06989234149824189,0.187365080275358,0.2893823137792599,0.6352536631850062,0.34217481728807764
2011-07-31,0.2820055064906004,neutral,0.5283796450802208,-0.09092703547979185,2.0303865026217482,-0.10236646055665191,0.1499064864284445,0.24965210181075032,-0.08904865843071987,-0.4199385295491972
2011-08-31,0.5419712066645989,risk_off,0.6311546727110509,0.5369018138773979,0.9909892179647951,0.1867852852640981,0.05234827380081153,1.1022335603136337,0.5379312300196836,0.2974255993653203
2011-09-30,1.381386645450938,extreme_risk_off,1.9406394328145133,0.10151427003614648,1.3607276622804552,2.082925940013913,0.07868105713100819,1.5967590426501181,1.1870112346886321,2.702834523992717
2011-10-31,-0.9318158913268839,risk_on,-1.364555713013182,0.29880265346369583,-1.819695330210554,-0.9873947126877195,0.22767617391364783,-1.659682543260814,-1.001503358270576,-1.14817430054957
2011-11-30,0.13752388762184437,neutral,0.44898949592873477,-0.4522993467240691,-0.43183989608880974,1.0216465684008693,0.10765437797821885,0.42715169028650996,-0.2929430056590798,0.27183121685238065
2011-12-31,-0.0436612692033376,neutral,-0.6821031371136398,-0.5455462937567502,-0.8816174923293593,0.8006622365154477,0.19419513165018842,-0.020468515515852312,0.316175722340565,0.4694121945826998
2012-01-31,-0.6952568058201731,risk_on,-1.4681400659292752,-1.340286037735444,-0.9296185201486381,-0.3439135983478026,0.22957567106144663,-1.011516317426123,-0.05346781384360526,-0.6446877641919433
2012-02-29,-0.28462146831721846,neutral,-0.4051528011092846,0.26983325229666744,-0.29799561416146125,-0.19916890653021188,0.14236352062415836,-0.6858031398997131,-0.8074958871699067,-0.29355217058799554
2012-03-31,-7.63794706158949e-05,neutral,-0.2984224017946207,0.1759396648623497,-0.8596405301414665,0.1554626243420242,0.19891663246882071,-0.06179893098859626,0.28584680324208145,0.40308510224448024
2012-04-30,-0.12092105375978716,neutral,-0.7494252112114053,-1.2753802614015406,0.44735203888864866,-0.061356713860780496,0.3074762605898995,0.16490500312009398,0.16595010672039476,0.033110347076392266
2012-05-31,1.3742339949048539,extreme_risk_off,2.0645631152229895,0.938002450509698,1.5712558364885445,1.8658293444865603,-0.017426905832600842,1.3215689860733986,1.857885890267121,1.3921932420231204
2012-06-30,-0.5647789610438847,risk_on,-1.4702862344667313,-0.10764287750954248,-1.671544581363387,-0.5745334266907621,0.10210461454498392,-0.5600920727887556,0.36865646308213873,-0.6048935731590221
2012-07-31,-0.06734644189230117,neutral,-0.2278724323888143,-0.2835755622952397,0.4415261904214445,0.4380564015094051,0.15999118651485747,-0.2116167152845383,-0.46017042313796835,-0.39511018047755564
2012-08-31,-0.304253553913859,neutral,-0.430686725364019,-0.1011154929838306,-0.41663946605882457,-0.5865621497323941,0.2113806863908958,-0.14884019455280767,-0.812761508278111,-0.1488035807317809
2012-09-30,-0.43565940272970044,neutral,-1.0915395749993115,-0.7377372524926298,-0.5287605489362542,-0.5247681833914978,0.08432811504721766,-0.5557646053328281,0.40704552416928014,-0.53807869590158
2012-10-31,0.35965517018513715,neutral,-0.4858471508087841,0.9541442914290336,0.762500979592634,0.022021978770724975,0.15308027036861563,0.2390366845728027,0.5803120601292113,0.6519922474268594
2012-11-30,-0.35167601582667496,neutral,0.0004296893931843027,-1.8591371006360449,-0.7913919625900256,0.13118804919169158,0.14096953597824327,-0.09035496974567184,-0.1921922750220474,-0.15291909318272914
2012-12-31,0.19475920697267135,neutral,0.3983944377799285,0.7884930435337807,0.5747555780969632,-0.14208474419609013,0.1628610631796079,-0.3405415175455131,-0.07278046014873335,0.18897625508142704
2013-01-31,-0.18803206296776911,neutral,0.4076843141939088,0.5661172014130005,-1.1467562936293332,-0.22158090832675612,0.14098473640022233,-0.533709044567183,-0.42166530225832144,-0.2953312069676908
2013-02-28,0.29254404637632136,neutral,0.2875571456957024,-0.9171093596818395,0.3725792158185499,1.2489458941752034,0.15194067823974292,-0.0021154431729386164,0.5673759547628245,0.6311782851733261
2013-03-31,-0.08296345855329071,neutral,-0.21538987129681472,0.15077634048972086,-0.9836015424176435,0.4589651479506019,0.12846260062579806,-0.2025277598090432,-0.12693953614024253,0.12654695217129747
2013-04-30,-0.027983602386512735,neutral,-0.32177505846153626,-0.8672484980639534,0.2870006108706249,-0.5252773409825291,0.15138867482659377,-0.17648819136380625,0.667846042884245,0.5606849411982595
2013-05-31,0.8125800057897989,risk_off,1.6381786101527078,2.8093150273235588,0.8849136312088075,0.7263511521200682,0.15557487763810193,0.012385005181497821,0.25957357162201977,0.014348171071629306
2013-06-30,0.4039699638880352,neutral,0.6675016414839297,1.1984273714340763,0.13469220227962578,-0.09668402326133857,0.20337263135116412,0.6124955256358494,-0.27093503895281434,0.7828894011337895
