owner,workstream,variant,basis,on_base,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,skew,hit_rate,CVaR_99,turnover,cost_drag,info_ratio,alpha_ann,t_alpha,n_days,start,end,source,note
-,P4-C combined ladder,[add] baseline,gross,True,,,0.6284423467928719,,,,,,,0.6754702284294828,0.0181466112657643,,,,5001.0,,,cesare/outputs/p4_combined_ladder.csv,improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive LOO
-,P4-C combined ladder,[add] baseline,net,True,0.0521434343364557,0.1119142098626392,0.4659232674783244,,0.1600595389477542,-0.2931849420551634,-0.6480046211041329,,0.0291987457840746,0.6754702284294828,0.0181466112657643,,,,5001.0,,,cesare/outputs/p4_combined_ladder.csv,improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive LOO
-,P4-C combined ladder,[final] baseline,gross,True,,,0.6284423467928719,,,,,,,0.6754702284294828,0.0181466112657643,,,,5001.0,,,cesare/outputs/p4_combined_ladder.csv,improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive LOO
-,P4-C combined ladder,[final] baseline,net,True,0.0521434343364557,0.1119142098626392,0.4659232674783244,,0.1600595389477542,-0.2931849420551634,-0.6480046211041329,,0.0291987457840746,0.6754702284294828,0.0181466112657643,,,,5001.0,,,cesare/outputs/p4_combined_ladder.csv,improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive LOO
Arjun,Duration hedge,expanding (real-time),gross,True,0.0558653430762164,0.1096371027565624,0.5095477869408819,,,-0.3216925483721685,-0.597189309474653,,,,,,,,,,,arjun/outputs/duration_hedge_stats.csv,"ON THE BASE: his `book` column is bit-identical to run().net (1.0e-16). 0.4673 vs 0.4659 = 7 US holidays dropped by the TLT inner join; -33.2% vs -29.3% = cumsum vs wealth-curve drawdown convention, NOT a different book. MaxDD is therefore NOT comparable to other rows here. Re-priced through ExternalLeg in p4_component_standalone.csv (net 0.5145 on the base)."
Arjun,Duration hedge,expanding (real-time),net,True,0.055861174009892,0.1096371457923753,0.5095095608898718,,,-0.3216984019398466,-0.5971913495014932,,,,,,,,,,,arjun/outputs/duration_hedge_stats.csv,"ON THE BASE: his `book` column is bit-identical to run().net (1.0e-16). 0.4673 vs 0.4659 = 7 US holidays dropped by the TLT inner join; -33.2% vs -29.3% = cumsum vs wealth-curve drawdown convention, NOT a different book. MaxDD is therefore NOT comparable to other rows here. Re-priced through ExternalLeg in p4_component_standalone.csv (net 0.5145 on the base)."
Arjun,Duration hedge,static (in-sample),gross,True,0.0572288277137743,0.1086944461256163,0.5265110569461474,,,-0.322644303090219,-0.6067317323511944,,,,,,,,,,,arjun/outputs/duration_hedge_stats.csv,"ON THE BASE: his `book` column is bit-identical to run().net (1.0e-16). 0.4673 vs 0.4659 = 7 US holidays dropped by the TLT inner join; -33.2% vs -29.3% = cumsum vs wealth-curve drawdown convention, NOT a different book. MaxDD is therefore NOT comparable to other rows here. Re-priced through ExternalLeg in p4_component_standalone.csv (net 0.5145 on the base)."
Arjun,Duration hedge,static (in-sample),net,True,0.0572288277137743,0.1086944461256163,0.5265110569461474,,,-0.322644303090219,-0.6067317323511944,,,,,,,,,,,arjun/outputs/duration_hedge_stats.csv,"ON THE BASE: his `book` column is bit-identical to run().net (1.0e-16). 0.4673 vs 0.4659 = 7 US holidays dropped by the TLT inner join; -33.2% vs -29.3% = cumsum vs wealth-curve drawdown convention, NOT a different book. MaxDD is therefore NOT comparable to other rows here. Re-priced through ExternalLeg in p4_component_standalone.csv (net 0.5145 on the base)."
Arjun,Duration hedge,unhedged,net,True,0.0523321108148518,0.1119911680497511,0.4672878381945596,,,-0.3322331117648022,-0.6478862132940291,,,,,,,,,,,arjun/outputs/duration_hedge_stats.csv,"ON THE BASE: his `book` column is bit-identical to run().net (1.0e-16). 0.4673 vs 0.4659 = 7 US holidays dropped by the TLT inner join; -33.2% vs -29.3% = cumsum vs wealth-curve drawdown convention, NOT a different book. MaxDD is therefore NOT comparable to other rows here. Re-priced through ExternalLeg in p4_component_standalone.csv (net 0.5145 on the base)."
Arjun,P4-C combined ladder,[add] + Duration hedge (long TLT),gross,True,,,0.6802357426899243,,,,,,,0.6754702284294828,0.0181486938844463,,0.0073913631965561,1.1592782766658,5001.0,,,cesare/outputs/p4_combined_ladder.csv,improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive LOO
