date,VIX_rank,IV_ALL_rank,EMBI_rank,composite,regime
2008-06-11,,0.8068783068783069,0.6931216931216931,0.75,Moderate
2008-06-12,,0.8021108179419525,0.662269129287599,0.7321899736147757,Moderate
2008-06-13,,0.8078947368421052,0.6578947368421053,0.7328947368421053,Moderate
2008-06-16,,0.7926509186351706,0.6719160104986877,0.7322834645669292,Moderate
2008-06-17,,0.6649214659685864,0.675392670157068,0.6701570680628273,Low
2008-06-18,,0.5691906005221932,0.7049608355091384,0.6370757180156658,Low
2008-06-19,,0.5598958333333334,0.6979166666666666,0.62890625,Low
2008-06-20,,0.5038961038961038,0.7636363636363637,0.6337662337662338,Low
2008-06-23,,0.582901554404145,0.7590673575129534,0.6709844559585492,Low
2008-06-24,,0.5400516795865633,0.813953488372093,0.6770025839793281,Low
2008-06-25,,0.5567010309278351,0.8556701030927835,0.7061855670103092,Moderate
2008-06-26,,0.5269922879177378,0.9203084832904884,0.7236503856041131,Moderate
2008-06-27,,0.5487179487179488,0.9487179487179487,0.7487179487179487,Moderate
2008-06-30,,0.59846547314578,0.9462915601023018,0.7723785166240409,Moderate
2008-07-01,,0.6377551020408163,0.9719387755102041,0.8048469387755102,Moderate
2008-07-02,0.8624338624338624,0.6564885496183206,0.9745547073791349,0.8311590398104393,Moderate
2008-07-03,0.8021108179419525,0.6116751269035533,0.9771573604060914,0.7969811017505323,Moderate
2008-07-04,,0.5164556962025316,0.9759493670886076,0.7462025316455696,Moderate
2008-07-07,0.8552631578947368,0.5353535353535354,0.9797979797979798,0.7901382243487506,Moderate
2008-07-08,0.6850393700787402,0.5390428211586902,0.9848866498740554,0.736322947037162,Moderate
2008-07-09,0.8219895287958116,0.5201005025125628,0.9849246231155779,0.7756715514746508,Moderate
2008-07-10,0.839425587467363,0.506265664160401,0.9899749373433584,0.7785553963237074,Moderate
2008-07-11,0.9309895833333334,0.5525,0.9675,0.8169965277777779,Moderate
2008-07-14,0.9636363636363636,0.6234413965087282,0.9775561097256857,0.8548779566235926,Moderate
2008-07-15,0.966321243523316,0.7611940298507462,0.9900497512437811,0.9058550082059478,Crisis
2008-07-16,0.8062015503875969,0.71712158808933,0.9627791563275434,0.8287007649348235,Moderate
2008-07-17,0.7989690721649485,0.5866336633663366,0.9034653465346535,0.7630226940219796,Moderate
2008-07-18,0.7506426735218509,0.5382716049382716,0.8864197530864197,0.7251113438488476,Moderate
2008-07-21,0.6666666666666666,0.5443349753694581,0.8768472906403941,0.6959496442255063,Low
2008-07-22,0.5703324808184144,0.5503685503685504,0.8673218673218673,0.6626742995029441,Low
2008-07-23,0.576530612244898,0.5465686274509803,0.8406862745098039,0.654595171401894,Low
2008-07-24,0.6984732824427481,0.48655256723716384,0.8936430317848411,0.6928896271549178,Low
2008-07-25,0.6548223350253807,0.4658536585365854,0.8634146341463415,0.6613635425694359,Low
2008-07-28,0.769620253164557,0.45985401459854014,0.8953771289537713,0.7082837989056229,Moderate
2008-07-29,0.5934343434343434,0.4587378640776699,0.8713592233009708,0.6411771436043281,Low
2008-07-30,0.5642317380352645,0.4600484261501211,0.8595641646489104,0.627948109611432,Low
2008-07-31,0.657035175879397,0.4396135265700483,0.9178743961352657,0.6715076995282371,Low
2008-08-01,0.6190476190476191,0.43373493975903615,0.9421686746987952,0.6649837445018169,Low
2008-08-04,0.7075,0.43990384615384615,0.9326923076923077,0.6933653846153846,Low
2008-08-05,0.5523690773067331,0.4556354916067146,0.9064748201438849,0.6381597963524442,Low
2008-08-06,0.48756218905472637,0.44976076555023925,0.8875598086124402,0.608294254405802,Low
2008-08-07,0.5558312655086849,0.4510739856801909,0.9498806682577565,0.6522619731488775,Low
2008-08-08,0.5148514851485149,0.7095238095238096,0.9666666666666667,0.7303473204463304,Moderate
2008-08-11,0.48148148148148145,0.7553444180522565,0.9370546318289786,0.7246268437875721,Moderate
2008-08-12,0.5603448275862069,0.7488151658767772,0.9644549763033176,0.7578716565887672,Moderate
2008-08-13,0.5798525798525799,0.8037825059101655,0.9574468085106383,0.7803606314244612,Moderate
2008-08-14,0.4950980392156863,0.7311320754716981,0.9740566037735849,0.7334289061536564,Moderate
2008-08-15,0.45232273838630804,0.7670588235294118,0.9764705882352941,0.7319507167170046,Moderate
2008-08-18,0.5463414634146342,0.7206572769953051,0.9906103286384976,0.7525363563494789,Moderate
2008-08-19,0.5742092457420924,0.7400468384074942,0.9836065573770492,0.7659542138422119,Moderate
2008-08-20,0.5024271844660194,0.7242990654205608,0.9976635514018691,0.7414632670961497,Moderate
2008-08-21,0.46246973365617433,0.6946386946386947,0.993006993006993,0.716705140433954,Moderate
2008-08-22,0.4178743961352657,0.6488372093023256,0.9744186046511628,0.6803767366962514,Low
2008-08-25,0.5469879518072289,0.7679814385150812,0.9976798143851509,0.7708830682358204,Moderate
2008-08-26,0.5072115384615384,0.8564814814814815,0.9976851851851852,0.7871260683760685,Moderate
2008-08-27,0.460431654676259,0.8383371824480369,0.9976905311778291,0.7654864561007084,Moderate
2008-08-28,0.44019138755980863,0.8018433179723502,0.988479262672811,0.7435046560683233,Moderate
2008-08-29,0.5178997613365155,0.7494252873563219,0.9540229885057471,0.7404493457328615,Moderate
2008-09-01,,0.8532110091743119,0.9529816513761468,0.9030963302752293,Crisis
2008-09-02,0.6071428571428571,0.9221967963386728,0.9908466819221968,0.8400621118012422,Moderate
2008-09-03,0.5866983372921615,0.95662100456621,0.997716894977169,0.8470120789451802,Moderate
2008-09-04,0.7654028436018957,0.9681093394077449,1.0,0.9111707276698802,Crisis
2008-09-05,0.6832151300236406,0.9931818181818182,1.0,0.8921323160684862,Moderate
2008-09-08,0.6391509433962265,0.9954648526077098,0.9931972789115646,0.8759376916385003,Moderate
2008-09-09,0.8376470588235294,0.995475113122172,1.0,0.9443740573152338,Crisis
2008-09-10,0.7922535211267606,0.9932279909706546,1.0,0.928493837365805,Crisis
2008-09-11,0.7868852459016393,0.9977477477477478,1.0,0.928210997883129,Crisis
2008-09-12,0.8551401869158879,0.9887640449438202,1.0,0.9479680772865694,Crisis
2008-09-15,0.9976689976689976,1.0,1.0,0.9992229992229992,Crisis
2008-09-16,0.9837209302325581,1.0,1.0,0.9945736434108526,Crisis
2008-09-17,1.0,0.9977678571428571,1.0,0.9992559523809524,Crisis
2008-09-18,0.9976851851851852,1.0,0.9977728285077951,0.9984860045643268,Crisis
2008-09-19,0.9930715935334873,0.9933333333333333,0.9911111111111112,0.9925053459926438,Crisis
2008-09-22,0.9976958525345622,0.9933481152993349,0.9889135254988913,0.9933191644442627,Crisis
2008-09-23,0.9977011494252873,0.9933628318584071,0.9911504424778761,0.9940714745871903,Crisis
2008-09-24,0.9954128440366973,0.9867549668874173,0.9911699779249448,0.9911125962830197,Crisis
2008-09-25,0.988558352402746,0.9845814977973568,0.9889867841409692,0.9873755447803574,Crisis
2008-09-26,0.9931506849315068,0.9912087912087912,0.9934065934065934,0.9925886898489639,Crisis
2008-09-29,1.0,1.0,0.9956140350877193,0.9985380116959064,Crisis
2008-09-30,0.9977272727272727,1.0,0.9978118161925602,0.9985130296399443,Crisis
2008-10-01,0.9977324263038548,0.9978165938864629,0.9978165938864629,0.9977885380255936,Crisis
2008-10-02,0.997737556561086,1.0,1.0,0.9992458521870287,Crisis
2008-10-03,0.9954853273137697,0.9978260869565218,1.0,0.9977704714234304,Crisis
2008-10-06,1.0,1.0,1.0,1.0,Crisis
2008-10-07,1.0,1.0,1.0,1.0,Crisis
2008-10-08,1.0,1.0,1.0,1.0,Crisis
2008-10-09,1.0,0.9978448275862069,1.0,0.9992816091954023,Crisis
2008-10-10,1.0,1.0,1.0,1.0,Crisis
2008-10-13,0.9933184855233853,0.9978540772532188,0.9989270386266095,0.9966998671344046,Crisis
2008-10-14,0.9933333333333333,0.9914346895074947,0.9935760171306209,0.9927813466571497,Crisis
2008-10-15,0.9977827050997783,0.9957264957264957,0.9957264957264957,0.9964118988509233,Crisis
2008-10-16,0.995575221238938,0.997867803837953,0.9957356076759062,0.9963928775842658,Crisis
